,0
A01,48131.20350504608
A21,1579.5333807695965
A22,1198.60503327181
A23,16127.85459593762
A24,6799.057016541377
A41,8231.527194996104
A42,2928.5417353581183
A43,6029.718025359562
A44,4237.297929455906
A45,13046.507949391758
A46,3489.6827020017763
A47,44855.28992315229
A61,317089.5550537232
A62,5362.405322800541
A63,38581.3591215885
B01,71638.39832957406
B02,2558.595175810603
B03,2525.5572014982613
B04,1672.0122758720108
B05,21602.817859034225
B06,2949.9316390919103
B07,2729.7912315484805
B08,8102.130227720248
B21,10475.996907498049
B22,14040.781817834235
B23,34645.17977603592
B24,6258.852720885279
B25,27600.381883674534
B26,6260.977554555354
B27,2707.606351291475
B28,4149.06978209191
B29,50061.78123166794
B30,1809.528428403792
B31,2795.7875797731685
B32,33283.33156079182
B33,16404.543310085654
B41,20494.430892214477
B42,2960.3508798034763
B43,1067.6275154878385
B44,2487.6576489836793
B60,141934.3816343795
B61,5364.005264953077
B62,33387.48638575872
B63,10231.362155706636
B64,37574.64329722879
B65,59177.0415491453
B66,10138.513199874287
B67,5592.262495469573
B81,6357.816847173262
B82,8904.357206867408
C01,20051.66769274674
C02,12673.536582411793
C03,8226.209671125856
C04,10317.541737760443
C05,1956.1550467188683
C06,593.6330090256338
C07,95208.9479961466
C08,60238.709865754994
C09,50022.93928271717
C10,13695.504377557878
C11,6557.2976280821895
C12,71077.29181390516
C13,747.3901169859221
C21,5948.634290409742
C22,14387.190970888929
C23,22966.948012961468
C25,8328.459072862006
C30,3769.6802879830657
C40,1440.2343567542873
D01,3839.6205884012634
D04,4198.956357823796
D05,1047.2944470361726
D06,8714.332576398407
D07,691.1707343910705
D10,4445.452307680175
D21,4402.512982875644
E01,6741.465199828932
E02,11040.015236259937
E03,7133.028536424419
E04,22237.89466901151
E05,14591.288040149298
E06,7995.9255996857055
E21,36113.047547869195
F01,45163.852605876564
F02,46179.249838088755
F03,9304.682404331295
F04,27518.190782250294
F05,34219.673317897235
F15,7432.596363153236
F16,104549.99935882786
F17,4247.443202155089
F21,30915.349331068024
F22,1933.2548461853746
F23,8537.553191082992
F24,22403.50724792028
F25,18068.42202614434
F26,2545.0612007530062
F27,2523.165691957577
F28,12020.354361455418
F41,11917.929369257823
F42,4115.990091646073
G01,253001.1815934318
G02,122215.49536401164
G03,47438.80177886081
G04,4761.773475898097
G05,81009.71179616926
G06,629064.2265603686
G07,34714.630998240886
G08,53312.28476524826
G09,68427.66157307896
G10,36765.26071414516
G11,43127.27449536242
G16,38798.21973475274
G21,6055.255352337375
H01,355263.78058896726
H02,113551.32471393225
H03,60714.32207358413
H04,565076.8676672517
H05,84303.81188408943
Y02,246094.93031359473
Y04,11426.732140549497
