date,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,A99,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,B99,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,C99,D01,D02,D03,D04,D05,D06,D07,D10,D21,D99,E01,E02,E03,E04,E05,E06,E21,E99,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,F99,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,G99,H01,H02,H03,H04,H05,H99,Y02,Y04
1976-01-06,28,5,4,18,7,1,NULL,2,2,8,2,14,55,1,22,NULL,75,2,4,2,14,2,4,2,NULL,12,13,17,5,7,1,8,5,33,NULL,2,14,NULL,22,2,3,5,40,2,18,12,6,51,6,4,NULL,NULL,NULL,NULL,18,13,17,10,4,4,228,119,44,22,16,17,NULL,2,6,18,22,14,3,NULL,NULL,9,NULL,1,6,2,16,NULL,1,11,NULL,4,13,2,17,10,2,9,NULL,16,30,3,18,7,1,54,6,4,3,9,7,3,3,6,4,6,4,NULL,79,20,43,8,9,21,8,4,4,11,19,NULL,NULL,14,NULL,107,26,32,35,13,NULL,68,NULL
1976-01-13,32,4,3,15,3,1,NULL,5,4,4,1,22,88,2,18,NULL,62,4,4,2,11,2,3,3,NULL,6,10,20,3,2,1,5,6,50,8,3,10,NULL,8,1,1,2,33,6,14,15,5,47,7,1,NULL,NULL,1,NULL,25,9,9,14,2,3,205,93,47,20,12,8,2,NULL,8,14,18,8,2,NULL,NULL,6,NULL,2,4,1,23,1,1,10,NULL,5,8,1,9,3,2,7,NULL,18,29,1,14,3,5,53,1,2,NULL,10,5,9,4,7,6,4,2,NULL,80,17,38,7,12,22,4,10,9,4,22,NULL,NULL,11,NULL,92,33,26,25,20,NULL,54,NULL
1976-01-20,38,5,2,17,3,6,NULL,2,4,5,2,20,76,2,15,NULL,78,3,4,2,14,1,6,1,NULL,11,15,23,8,5,8,5,4,37,2,2,12,NULL,12,2,2,1,33,5,12,10,8,73,8,3,NULL,NULL,NULL,NULL,27,21,12,7,4,2,174,134,33,27,8,12,NULL,NULL,6,24,14,9,11,NULL,NULL,4,2,3,6,4,16,NULL,NULL,8,NULL,2,16,7,22,12,4,15,NULL,10,31,2,8,4,5,54,2,5,3,8,6,12,2,3,4,NULL,2,NULL,86,19,56,2,17,25,7,5,4,9,12,1,1,11,NULL,84,18,26,41,19,NULL,77,NULL
1976-01-25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL
1976-01-27,23,2,7,14,1,6,2,4,2,7,2,30,64,NULL,14,NULL,50,5,3,2,16,1,3,3,NULL,21,11,31,9,9,6,6,5,24,3,NULL,11,NULL,16,NULL,2,3,55,5,31,21,9,87,19,7,NULL,NULL,1,NULL,14,5,19,8,1,NULL,114,78,34,12,7,10,2,1,8,7,16,12,4,NULL,NULL,2,3,3,4,4,12,2,NULL,5,NULL,12,13,5,12,12,4,18,NULL,17,28,1,10,2,11,77,3,5,5,15,16,9,2,3,11,3,6,NULL,87,16,43,8,11,21,12,8,11,3,18,NULL,NULL,6,NULL,92,24,28,39,26,NULL,56,NULL
1976-02-03,25,2,NULL,13,4,5,1,2,4,10,2,35,57,3,27,NULL,29,3,6,1,10,NULL,2,2,NULL,16,3,40,6,11,10,5,1,35,2,6,17,NULL,18,4,4,3,35,3,20,11,12,70,5,1,NULL,1,NULL,NULL,5,6,11,9,4,1,86,63,31,12,12,5,NULL,NULL,7,8,16,4,2,NULL,NULL,5,4,NULL,7,3,18,4,1,8,NULL,9,13,4,23,12,6,11,NULL,22,35,4,26,8,9,66,1,9,NULL,9,11,4,3,3,4,6,3,NULL,110,36,61,5,15,20,8,4,13,11,24,NULL,NULL,10,NULL,126,29,34,41,18,NULL,49,NULL
1976-02-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1976-02-10,30,4,4,16,3,5,NULL,3,1,12,2,25,75,3,23,NULL,38,3,2,3,14,3,3,3,NULL,19,11,31,7,6,5,7,2,19,5,1,6,NULL,12,5,4,3,68,11,23,17,8,70,9,3,NULL,NULL,1,NULL,21,2,6,6,1,3,80,44,14,7,2,8,NULL,1,3,9,2,4,NULL,NULL,NULL,5,6,NULL,7,8,13,NULL,1,5,NULL,4,8,4,16,9,3,16,NULL,22,39,2,15,1,8,82,1,5,4,9,9,10,3,3,6,9,7,NULL,103,19,39,11,24,43,14,13,21,10,22,NULL,NULL,15,NULL,83,40,42,57,10,NULL,53,3
1976-02-17,34,1,1,18,1,3,NULL,5,NULL,7,1,35,81,3,16,NULL,63,6,2,3,8,5,6,4,NULL,18,10,34,4,1,6,7,8,36,8,2,6,NULL,8,4,3,2,53,6,25,14,8,89,8,9,1,NULL,NULL,NULL,21,9,8,3,3,2,103,58,28,20,6,4,NULL,2,11,12,10,8,4,NULL,NULL,12,7,5,5,3,12,NULL,2,8,NULL,8,17,1,18,9,2,22,NULL,25,34,7,16,4,7,82,6,4,3,26,13,9,4,5,8,10,10,NULL,110,19,32,4,22,14,11,7,8,6,16,NULL,NULL,7,NULL,70,21,29,36,15,NULL,61,NULL
1976-02-24,33,1,3,17,6,2,NULL,2,3,7,3,29,73,1,35,NULL,33,NULL,1,2,18,NULL,2,4,NULL,18,14,32,5,14,7,8,6,32,4,3,12,NULL,15,5,2,4,56,13,26,12,10,101,9,5,NULL,NULL,NULL,NULL,13,5,8,8,1,5,89,63,29,9,8,7,NULL,1,6,12,9,6,3,NULL,NULL,12,5,4,8,2,28,2,1,6,NULL,11,13,8,15,7,1,21,NULL,12,34,2,10,1,8,78,NULL,5,4,11,5,10,2,10,9,4,6,NULL,104,12,33,14,24,17,8,7,13,6,28,NULL,1,13,NULL,90,30,35,39,19,NULL,54,NULL
